URL,Version,Status,OIDs,Name,Title,Description,Used
http://172.209.216.154:3447/fhir/CodeSystem/SzChiefdomCS,0.1.0,draft,,SzChiefdomCS,Code System: Eswatini Chiefdoms,"Code system for ESwatini Chiefdoms",
http://172.209.216.154:3447/fhir/CodeSystem/SzEncounterClassificationCS,0.1.0,active,,EswatiniEncounterClassification,Code System: Encounter Classification,"Data element that contains the classification of encounters.",
http://172.209.216.154:3447/fhir/CodeSystem/SzEncounterReasonCS,0.1.0,draft,,SzEncounterReasonCS,Code System: Eswatini Encounter Reason Codes,"Code System for Eswatini Encounter Reason Codes",
http://172.209.216.154:3447/fhir/CodeSystem/SzPersonIdentificationsCS,0.1.0,draft,,SzPersonIdentificationsCS,Code System: Person Identification Types,"Data element that contains the name and identification number of a specific person for identity and individualization purposes.",
http://172.209.216.154:3447/fhir/CodeSystem/SzProductCodeCS,0.1.0,draft,,SzProductCodeCS,Code System: Eswatini Product Codes,"Code system for ESwatini Product Codes",
http://172.209.216.154:3447/fhir/CodeSystem/SzReasonsForReferralCS,0.1.0,active,,EswatiniReasonsForReferrals,Code System: Eswatini Reasons for Referral,"Data element that contains codes for reasons for referral",
http://172.209.216.154:3447/fhir/CodeSystem/SzReferralIntentCS,0.1.0,active,,EswatiniServiceReferralIntent,Code System: Eswatini Referral Intent,"Data element that contains codes for referral intent",
http://172.209.216.154:3447/fhir/CodeSystem/SzReferralTypeCS,0.1.0,active,,EswatiniReferralType,Code System: Eswatini Referral Type,"Data element that contains codes for referral types",
http://172.209.216.154:3447/fhir/CodeSystem/SzServiceRequestCategoryCS,0.1.0,active,,EswatiniServiceRequestCategory,Code System: Eswatini Service Request Category,"Data element that contains codes for service request categories",
http://172.209.216.154:3447/fhir/CodeSystem/SzTestCodeCS,0.1.0,active,,EswatiniTestCodes,Code System: Eswatini Local Test Codes,"Data element that contains alternate test codes used by the Laboratory Information System to identify laboratory tests.",
http://172.209.216.154:3447/fhir/CodeSystem/SzTestParameterCodeCS,0.1.0,draft,,SzTestParameterCodeCS,Code System: Eswatini Local Test Parameter Codes,"",
http://172.209.216.154:3447/fhir/CodeSystem/SzTinkhundlaCS,0.1.0,active,,EswatiniTinkhundla,Code System: Eswatini Tinkhundla,"Code system for Eswatini Tinkhundla",
